spotify,no,Audio,music streaming app,spotify,sudo apt-get install -y spotify-client,apt_remove  spotify-client
soundconverter,yes,Audio,converting audio from one format to another,soundconverter,apt_install soundconverter,apt_remove soundconverter
solfege,yes,Audio,ear training software,solfege,apt_install solfege,apt_remove solfege
audacity,yes,Audio,cross-platform audio editor,audacity,apt_install audacity ,apt_remove audacity 
skype,yes,Communication,video call tool,skypeforlinux,apt_install  skypeforlinux,apt_remove  skypeforlinux
whatsapp,yes,Communication,private messaging,whatsapp-desktop,apt_install  whatsapp-desktop,apt_remove  whatsapp-desktop
slack,yes,Communication,chat with your team,slack,snap_install slack --classic,snap_remove slack
signal desktop,yes,Communication,private messaging,signal-desktop,snap_install signal-desktop,snap_remove signal-desktop
discord,yes,Communication,voicemail and video client,discord,snap_install discord,snap_remove discord
telegram,yes,Communication,private messaging,telegram-desktop,apt_install telegram-desktop,apt_remove telegram-desktop
teamviewer,yes,Communication,remote computer graphical control,teamviewer,apt_install teamviewer,apt_remove teamviewer
teams,yes,Communication,microsoft teams for videoconferencing,Microsoft Teams,"curl https://packages.microsoft.com/keys/microsoft.asc |  sudo apt-key add -�; sudo sh -c 'echo ""deb [arch=amd64] https://packages.microsoft.com/repos/ms-teams stable main"" > /etc/apt/sources.list.d/teams.list' ; sudo apt update ; apt_install  teams",apt_remove teams
zoom,yes,Communication,video conferencing tool,zoom-client,snap_install zoom-client,snap_remove zoom-client
wine,yes,Gaming,run windows apps on linux,wine,apt_install wine,apt_remove wine
ktouch,yes,Gaming,typist game,ktouch,apt_install ktouch,apt_remove ktouch
flightgear,yes,Gaming,Flight simulation game,flightgear,apt_install flightgear,apt_remove flightgear
openarena,yes,Gaming,3d shooting game,openarena,apt_install openarena,apt_remove openarena
nexuiz,yes,Gaming,3d shooting game,nexuiz ,apt_install nexuiz nexuiz-data nexuiz-music nexuiz-server nexuiz-textures,apt_remove nexuiz nexuiz-data nexuiz-music nexuiz-server nexuiz-textures
steam,yes,Gaming,manage and play games,steam,sudo add-apt-repository multiverse ; sudo apt update && apt_install  steam,apt_remove steam
pix,yes,Image,image viewer and browser,pix,apt_install pix,apt_remove pix
kolourpaint,yes,Image,graphic image and drawing editor,kolourpaint,apt_install kolourpaint4,apt_remove kolourpaint
Inkscape,yes,Image,vector drawing program,inkscape,apt_install inkscape,apt_remove inkscape
gimp,yes,Image,graphic image editor,gimp,apt_install gimp,apt_remove gimp
cheese,yes,Image,tool to take webcam photos and videos,cheese,apt_install cheese,apt_remove cheese
trimage,yes,Image,image file optimization tools,trimage,apt_install trimage,apt_remove trimage
rawtherapee,yes,Image,raw photo conversion and processing,rawtherapee,apt_install rawtherapee-data,apt_remove rawtherapee-data
